"EMP_NUM";"EMP_Lname";"EMP_FNAME";"EMP_INITIAL";"EMP_HIREDATE";"JOB_CODE"
"323";"Quival";"Paul";"G";"2001-11-28";"502"
"324";"Gan";"Janel Mae";"Q";"2001-08-04";"503"
"101";"Nevas";"John";"G";"1994-11-08";"502"
"102";"Senior";"David";"H";"1987-07-12";"503"
"103";"Arbos";"June";"E";"1996-12-01";"500"
"104";"Ramoras";"Anne";"K";"1998-11-15";"501"
"105";"Joson";"Alice";"P";"1993-02-01";"502"
"107";"Alonso";"Mara";"F";"1991-10-10";"500"
"108";"Washington";"Raf";"S";"1989-08-22";"501"
"109";"Field";"Larry";"W";"1999-07-18";"501"
